edate,name,type,location,start_time,end_time,link
2024-03-02,"Penshurst Farmers' Market",m,"Penshurst Place Car Park, Penshurst Place, Penshurst, TN11 8DG","09:30","12:00","https://www.facebook.com/PenshurstFarmersMarket/"
2024-05-10,"Falconhurst",p,"Falconhurst Farm Shop, Cowden Pound Road, Markbeech, TN8 5NR","12:00","20:00","https://www.falconhurst.co.uk/farm-shop"
2024-05-11,"Falconhurst",p,"Falconhurst Farm Shop, Cowden Pound Road, Markbeech, TN8 5NR","13:00","20:00","https://www.falconhurst.co.uk/farm-shop"
2024-07-05,"Falconhurst",p,"Falconhurst Farm Shop, Cowden Pound Road, Markbeech, TN8 5NR","12:00","20:00","https://www.falconhurst.co.uk/farm-shop"
2024-07-06,"Falconhurst",p,"Falconhurst Farm Shop, Cowden Pound Road, Markbeech, TN8 5NR","13:00","20:00","https://www.falconhurst.co.uk/farm-shop"
2024-04-20,"Wadhurst Market",m,"Commemoration Hall, High St, Wadhurst, TN5 6AP","09:00","12:30","https://www.facebook.com/wadhurstfarmersmarket/"
2024-06-08,"Wadhurst Primary School Summer Fete",p,"2 Sparrows Green Rd, Wadhurst TN5 6SR","12:00","16:00",""
2024-07-27,"Lakedown Brewing",p,"Lakedown Farm, Swife Lane, Burwash, TN21 8UX","12:00","18:00","https://lakedownbrewing.com/pages/coming-soon-at-lakedown"
2024-08-26,"Lakedown Brewing",p,"Lakedown Farm, Swife Lane, Burwash, TN21 8UX","12:00","18:00","https://lakedownbrewing.com/pages/coming-soon-at-lakedown"
2024-10-26,"Lakedown Brewing",p,"Lakedown Farm, Swife Lane, Burwash, TN21 8UX","12:00","18:00","https://lakedownbrewing.com/pages/coming-soon-at-lakedown"
2024-03-16,"Wadhurst Market",m,"Commemoration Hall, High St, Wadhurst, TN5 6AP","09:00","12:30","https://www.facebook.com/wadhurstfarmersmarket/"
2024-05-18,"Wadhurst Market",m,"Commemoration Hall, High St, Wadhurst, TN5 6AP","09:00","12:30","https://www.facebook.com/wadhurstfarmersmarket/"
2024-06-15,"Wadhurst Market",m,"Commemoration Hall, High St, Wadhurst, TN5 6AP","09:00","12:30","https://www.facebook.com/wadhurstfarmersmarket/"
2024-09-21,"Wadhurst Market",m,"Commemoration Hall, High St, Wadhurst, TN5 6AP","09:00","12:30","https://www.facebook.com/wadhurstfarmersmarket/"
2024-11-16,"Wadhurst Market",m,"Commemoration Hall, High St, Wadhurst, TN5 6AP","09:00","12:30","https://www.facebook.com/wadhurstfarmersmarket/"
2024-05-06,"Taywell Farm Shop",m,"Cranbrook Rd, Goudhurst, Cranbrook, TN17 1DY","14:00","17:00","https://taywellfarm.co.uk/"
2024-05-04,"Penshurst Farmers' Market",m,"Penshurst Place Car Park, Penshurst Place, Penshurst, TN11 8DG","09:30","12:00","https://www.facebook.com/PenshurstFarmersMarket/"
2024-06-01,"Penshurst Farmers' Market",m,"Penshurst Place Car Park, Penshurst Place, Penshurst, TN11 8DG","09:30","12:00","https://www.facebook.com/PenshurstFarmersMarket/"
2024-06-02,"Taywell Farm Shop",p,"Cranbrook Rd, Goudhurst, Cranbrook, TN17 1DY","14:00","17:00","https://taywellfarm.co.uk/"
